3530.8,3530.8,3530.8,3528.6,3528.6,3528.6,3528.6,3528.6,3528.6,3526.4,3495.5,3493.3,3493.3,3493.3,3493.3,3491.1,3491.1,3491.1,3491.1,3491.1,3491.1,3491.1,0
3486.7,3484.5,3484.5,3484.5,3484.5,3484.5,3484.5,3484.5,3482.3,3482.3,3480.1,3449.2,3449.2,3447,3447,3447,3444.8,3444.8,3444.8,3444.8,3444.8,3444.8,0
3442.6,3440.4,3440.4,3440.4,3440.4,3440.4,3440.4,3440.4,3438.2,3438.2,3438.2,3433.8,3405.1,3402.9,3402.9,3402.9,3400.7,3400.7,3400.7,3400.7,3400.7,3400.7,0
3398.5,3398.5,3396.3,3396.3,3396.3,3396.3,3396.3,3396.3,3394.1,3394.1,3394.1,3391.9,3361,3358.8,3358.8,3356.6,3356.6,3356.6,3356.6,3356.6,3356.6,3356.6,0
3354.4,3354.4,3354.4,3352.2,3352.2,3352.2,3352.2,3352.2,3350,3350,3350,3347.8,3316.9,3314.7,3314.7,3312.5,3312.5,3312.5,3312.5,3312.5,3312.5,3312.5,0
3310.3,3310.3,3310.3,3310.3,3310.3,3308.1,3308.1,3308.1,3308.1,3305.9,3305.9,3303.7,3301.5,3270.6,3270.6,3268.4,3268.4,3268.4,3268.4,3268.4,3268.4,3268.4,0
3268.4,3266.2,3266.2,3266.2,3266.2,3266.2,3264,3264,3264,3264,3261.8,3261.8,3259.6,3226.5,3226.5,3226.5,3224.3,3224.3,3224.3,3224.3,3224.3,3224.3,0
3250.8,3224.3,3224.3,3224.3,3222.1,3222.1,3222.1,3219.9,3219.9,3219.9,3217.7,3217.7,3215.5,3184.6,3182.4,3182.4,3180.2,3180.2,3180.2,3180.2,3180.2,3180.2,0
3208.8,3208.8,3180.2,3180.2,3180.2,3180.2,3178,3178,3178,3175.8,3175.8,3173.6,3173.6,3140.5,3140.5,3138.3,3138.3,3138.3,3138.3,3138.3,3138.3,3138.3,0
3166.9,3166.9,3164.7,3164.7,3136.1,3136.1,3136.1,3136.1,3133.9,3133.9,3131.7,3131.7,3129.5,3098.6,3096.4,3096.4,3094.2,3094.2,3094.2,3094.2,3094.2,3094.2,0
3125,3125,3122.8,3122.8,3094.2,3094.2,3094.2,3092,3092,3089.8,3089.8,3089.8,3087.6,3054.5,3054.5,3052.3,3052.3,3052.3,3052.3,3052.3,3052.3,3052.3,0
3083.1,3083.1,3080.9,3080.9,3078.7,3052.3,3050.1,3050.1,3050.1,3047.9,3047.9,3045.6,3045.6,3012.6,3012.6,3010.4,3010.4,3008.2,3008.2,3008.2,3008.2,3008.2,0
3041.2,3039,3039,3039,3036.8,3034.6,3008.2,3008.2,3006,3006,3006,3003.7,3003.7,2970.7,2970.7,2968.5,2966.3,2966.3,2966.3,2966.3,2966.3,2966.3,0
2997.1,2997.1,2997.1,2997.1,2994.9,2994.9,2966.3,2966.3,2964,2964,2961.8,2961.8,2959.6,2955.2,2928.8,2926.6,2924.4,2924.4,2924.4,2924.4,2924.4,2924.4,0
2955.2,2955.2,2955.2,2955.2,2953,2953,2924.4,2924.4,2922.1,2922.1,2919.9,2919.9,2917.7,2915.5,2886.9,2884.7,2882.5,2882.5,2882.5,2882.5,2882.5,2882.5,0
2913.3,2913.3,2913.3,2913.3,2911.1,2911.1,2908.9,2882.5,2882.5,2880.2,2880.2,2878,2878,2873.6,2845,2842.8,2842.8,2840.5,2840.5,2840.5,2840.5,2840.5,0
2873.6,2871.4,2871.4,2871.4,2871.4,2869.2,2869.2,2840.5,2840.5,2838.3,2838.3,2836.1,2836.1,2831.7,2803.1,2800.9,2800.9,2800.9,2800.9,2800.9,2800.9,2800.9,0
2831.7,2831.7,2831.7,2829.5,2829.5,2829.5,2827.3,2798.6,2798.6,2798.6,2796.4,2796.4,2794.2,2792,2761.2,2761.2,2758.9,2758.9,2758.9,2758.9,2758.9,2758.9,0
2789.8,2789.8,2789.8,2789.8,2787.6,2787.6,2785.4,2758.9,2758.9,2756.7,2754.5,2754.5,2754.5,2750.1,2721.5,2719.3,2719.3,2717,2717,2717,2717,2717,0
2750.1,2747.9,2747.9,2747.9,2747.9,2745.7,2745.7,2717,2717,2717,2714.8,2714.8,2712.6,2710.4,2681.8,2679.6,2677.3,2677.3,2677.3,2677.3,2677.3,2677.3,0
2708.2,2708.2,2708.2,2708.2,2706,2706,2703.8,2677.3,2677.3,2675.1,2675.1,2672.9,2672.9,2668.5,2639.9,2639.9,2637.7,2637.7,2637.7,2637.7,2637.7,2637.7,0
2668.5,2668.5,2666.3,2666.3,2666.3,2666.3,2664.1,2659.7,2635.4,2635.4,2633.2,2633.2,2631,2628.8,2600.2,2598,2598,2598,2598,2598,2598,2598,0
